,title,link,description,bloggername,bloggerlink,postdate
0,컴퓨터학원 실용적인 <b>인공지능</b> 수업과정,https://blog.naver.com/foryou1035/224160610941,"요즘 <b>인공지능</b>이 화두인데요. 처음에는 똑똑한 기능에 신기함이 컸지만, 시간이 갈수록 미묘한 감정이... 현재는 직장에서 <b>인공지능</b> 교육을 담당하게 되었고, 퇴근 후에는 취미로 웹사이트를 만들고 있어요.... ",Ssong Story ♡,blog.naver.com/foryou1035,20260126
1,<b>인공지능</b> 자격증 취득과정 및 취업 정보 정리,https://blog.naver.com/gustlr00/224087574160,"<b>인공지능</b> 자격증 취득과정 및 취업 정보 정리 “AI를 이해하는 사람과 그렇지 못한 사람의 차이가 점점 더 커지고 있다&quot;라는 말을 실감하게 되는 요즘, 직장 내에서도, 취업 시장에서도 <b>인공지능</b> 기술을 다룰... ",〃다시 만나는 그날 까지 〃,blog.naver.com/gustlr00,20251125
2,<b>인공지능</b>전문가 자격증 취득과정 정리,https://blog.naver.com/anycall2502/224076021636,"<b>인공지능</b>전문가 자격증 취득과정 정리 최근 <b>인공지능</b> 기술이 눈에 띄게 발전하고 있다는 걸 느끼면서 뒤처지면 안 되겠다는 생각이 들었어요. 주변에서는 AI 활용이 기본 역량처럼 자리 잡고 있는데, 정작... ",더불어 사는 세상 이도형,blog.naver.com/anycall2502,20251114
3,학점은행제 <b>인공지능</b> 학위로 AI회사에 이직 성공했어요.,https://blog.naver.com/seo8810603/224226152116,저는 학점은행제 <b>인공지능</b> 학위로 이직까지 성공하게 된 30대 박ㅇ우입니다. 요즘 워낙 AI 기술이 많이... 솔직히 저도 처음에는 <b>인공지능</b>의 발전을 그렇게 달갑게 생각하진 않았어요. 사람의 일자리를... ,Seo's reptile and Water life story,blog.naver.com/seo8810603,20260323
4,"숙명여대 편입, <b>인공지능</b>공학부 합격까지 인서울 도전기",https://blog.naver.com/spoly001/224114522439,최근 IT와 AI 분야의 인재 양성에 주력하며 <b>인공지능</b>공학부를 신설해 미래 산업을 이끌어갈 여성 공학인 양성에 앞장서고 있습니다. 오늘은 실제로 숙명여대 <b>인공지능</b>공학부 편입에 성공한 학생의 생생한... ,TV조선캠퍼스평생교육원 공식 블로그,blog.naver.com/spoly001,20251218
5,엘지 LG 통돌이 세탁기 추천 용량 17kg <b>인공지능</b> T17WX3,https://blog.naver.com/reser45/224246855986,"기술의 발전은 여기서 그치지 않고 <b>인공지능</b> AI과 결합되었습니다. LG 통돌이 세탁기에 넣은 빨랫감의 무게는 물론이고 소재의 특성까지 스스로 감지하여 최적의 물살 세기와 모션, 시간을 설정해 준다는 점이... ",무스미엘,blog.naver.com/reser45,20260409
6,<b>인공지능</b> 교육 AI교육 키트 언플러그드 코딩 주미AI,https://blog.naver.com/alley1980/224229641240,<b>인공지능</b> 교육 AI교육 키트 언플러그드 코딩 주미AI 어느덧 따스한 바람이 부는 새학기 시즌이라 아이들 교육 문제로 고민이 많은 시기지요. 요즘은 학교 수업에서도 <b>인공지능</b> 교육 비중이 커지다 보니 집에서도... ,고고씨네 소소한 일상,blog.naver.com/alley1980,20260325
7,[연수기록] <b>인공지능</b> 맞춤형 교수학습 플랫폼(AIEP) 전달연수,https://blog.naver.com/dndus3356/224196778376,<b>인공지능</b> 맞춤형 교수학습 플랫폼(AIEP) 전남 - 아이모두 학교 담당자 전달연수 홍혜민 선생님 지역별로... AIEP = <b>인공지능</b> 맞춤형 교수학습 플랫폼 작년에 전남교육청에서 이 플랫폼의 이름을 공모했던 기억이... ,우연샘의 꿈꾸는 교실,blog.naver.com/dndus3356,20260226
8,<b>인공지능</b> 자격증 취득방법 총정리,https://blog.naver.com/wwevoszmffjq/224063279444,"<b>인공지능</b> 자격증 취득방법 총정리 그래픽 디자인을 전공하고 5년 동안 근무했던 회사에서 <b>인공지능</b> 자격증이 없다며 잘렸어요. 창작 관련 분야는 AI와 상관없을 줄 알았는데, ' AI 그림 ', ' 이미지 생성 도구... ",왜 안 가인요?,blog.naver.com/wwevoszmffjq,20251103
9,"<b>인공지능</b>(AI) 시대, 앞으로 일자리는 어떻게 변할까요?",https://blog.naver.com/molab_suda/224242653040,"- ｢APEC 미래 일자리 포럼: <b>인공지능</b>(AI)와 인구구조 변화｣ 개최 - 산업전환 고용안정 기본계획... 이덕만 포스코 지능화센터장은 기존 수작업으로 진행하던 용광로 작업을, 데이터를 학습해 스스로 규칙을... ",고용노동부 공식 블로그,blog.naver.com/molab_suda,20260406
